"School System & School","...2","# Tested","% Tested","Total","ERW","Math"
"316","East Surry High","21","14.3","1128","541","587"
"336","North Surry High","49","25.3","1020","522","497"
"352","Surry Central High","35","17.3","1125","569","557"
"354","Surry Early College","35","25.9","1107","564","543"
"Elkin City Schools",NA,"21","22.8","1050","532","518"
"308","Elkin High","21","22.8","1050","532","518"
"Mount Airy City Schools",NA,"24","24.2","1133","562","571"
"312","Mount Airy High","24","24.2","1133","562","571"
"Swain County Schools",NA,"29","25.2","1128","574","553"
"314","Swain County High School","29","27.1","1128","574","553"
"Transylvania County Schools",NA,"105","40.200000000000003","1109","564","545"
"308","Brevard High","76","41.8","1114","566","548"
"328","Rosman High","29","41.4","1095","559","536"
"Tyrrell County Schools",NA,"10","19.2","947","468","479"
"304","Columbia High","10","19.2","947","468","479"
"Union County Public Schools",NA,"1969","60.7","1145","570","575"
"311","Cuthbertson High","277","80.3","1180","587","593"
"316","Forest Hills High","72","37.5","969","491","478"
"336","Monroe High","58","22.7","957","485","472"
"342","Porter Ridge High School","221","54.6","1098","553","546"
"344","Parkwood High","128","45.9","1087","547","540"
"348","Piedmont High","187","53.7","1114","554","559"
"360","Sun Valley High","211","54.7","1079","542","537"
"365","South Providence","<10","*","*","*","*"
"366","Central Academy Of Technology","157","86.3","1178","588","590"
"367","Union County Early College","44","48.4","1144","569","575"
"377","Weddington High","236","86.1","1208","593","615"
"393","Marvin Ridge High","377","90.2","1227","605","622"
"Vance County Schools",NA,"237","56","952","485","467"
"364","Southern Vance High","113","69.3","926","468","458"
"370","Northern Vance High","87","53.7","936","479","457"
"382","Vance Co Early College","37","68.5","1068","549","519"
"Wake County Schools",NA,"6799","63.5","1150","577","573"
"316","Apex High","335","72.5","1225","607","618"
"317","Apex Friendship High","294","82.4","1161","581","580"
"318","Athens Drive High","249","65","1146","575","571"
"324","Longview","<10","*","*","*","*"
"348","Needham Broughton High","265","60","1167","592","575"
"368","Cary High","329","57","1137","572","566"
"386","Crossroads Flex","15","57.7","1124","568","556"
"411","East Wake High","133","46.7","1003","509","494"
"412","Enloe High","392","71.400000000000006","1257","631","627"
"428","Fuquay-Varina High","213","43","1135","569","566"
"436","Garner High","312","50.2","1062","538","524"
"441","Green Hope High","581","80.2","1237","608","629"
"445","Heritage High","297","68","1129","572","557"
"455","Holly Springs High","295","64.3","1149","582","567"
"466","Knightdale High","172","46.2","961","489","471"
"473","Leesville Road High","385","71.2","1169","585","584"
"495","Middle Creek High","330","63.8","1138","569","569"
"500","Millbrook High","369","67.8","1130","569","560"
"526","Panther Creek High","470","78.5","1247","619","628"
"528","Phillips High","<10","*","*","*","*"
"546","Rolesville High","205","50.2","1052","536","516"
"552","Sanderson High","244","56.9","1134","567","566"
"562","Southeast Raleigh High","153","53.1","979","495","484"
"581","Vernon Malone College And Care","14","25.9","1006","521","484"
"582","Wake STEM Early College","40","53.3","1240","616","624"
"583","Wake Early College Of Health A","55","62.5","1167","595","572"
"585","Wake Young Men's Leadership Ac","21","67.7","1152","584","568"
"586","Wake Young Women's Leadership","33","100","1086","560","526"
"588","Wake Forest High","268","60.4","1104","558","546"
"595","Wakefield High","323","75.5","1117","563","554"
"Warren County Schools",NA,"86","59.7","968","495","474"
"352","Warren County High","45","49.5","938","479","459"
"360","Warren Early College High","14","63.6","1131","573","558"
"700","Warren New Tech High","27","87.1","934","480","454"
"Washington County Schools",NA,"81","84.4","871","438","434"
"308","Creswell High","21","70","875","451","424"
"316","Plymouth High","60","90.9","869","433","437"
"Watauga County Schools",NA,"165","53.7","1159","592","566"
"336","Watauga High","158","68.099999999999994","1161","593","568"
"338","Watauga Innovation Academy","<10","*","*","*","*"
"Wayne County Public Schools",NA,"342","28.5","1032","521","510"
"324","Charles B Aycock High","85","32.799999999999997","1101","554","547"
"330","Eastern Wayne High","83","40.299999999999997","1007","512","496"
"335","Goldsboro High","34","29.6","880","448","432"
"372","Rosewood High","23","19","1085","534","550"
"380","Southern Wayne High","55","24.3","940","482","458"
"386","Spring Creek High","18","14.3","1059","534","524"
"488","Wayne Middle / High Academy","<10","*","*","*","*"
"490","Wayne Early / Middle College H","21","33.299999999999997","1169","588","581"
"700","Wayne School Of Engineering","22","34.9","1093","547","545"
"Wilkes County Schools",NA,"129","18.2","1097","556","541"
"320","East Wilkes High","47","39.799999999999997","1064","540","524"
"356","North Wilkes High","19","11.6","1102","566","536"
"388","West Wilkes High","35","22.9","1114","568","546"
"390","Wilkes Central High","18","9.1999999999999993","1139","562","577"
"393","Wilkes Early College High","10","12.7","1102","554","548"
"Wilson County Schools",NA,"417","50.4","1038","526","512"
"318","Beddingfield High","64","37.6","998","507","492"
"336","Fike High","157","57.9","1048","529","519"
"342","James Hunt High","158","53.9","1036","524","512"
"398","Wilson Early College Academy","38","42.2","1072","554","517"
"Yadkin County Schools",NA,"105","25.5","1061","534","527"
"322","Forbush High","64","31.7","1083","548","535"
"326","Starmount High","39","29.8","1022","510","512"
"332","Yadkin Early College","<10","*","*","*","*"
"Yancey County Schools",NA,"50","27.8","1083","545","538"
"330","Mountain Heritage High","50","27.8","1083","545","538"
"NC Connections Academy",NA,"<10","*","*","*","*"
"NC Virtual Academy",NA,"12","34.299999999999997","1121","573","548"
"River Mill Academy",NA,"14","45.2","1028","524","504"
"Clover Garden",NA,"22","62.9","1096","560","536"
"The Hawbridge School",NA,"19","54.3","1131","588","543"
"Williams Academy (fka Crossnore)",NA,"<10","*","*","*","*"
"Washington Montessori",NA,"<10","*","*","*","*"
"Paul R Brown Leadership Academy",NA,"12","85.7","881","456","425"
"Invest Collegiate - Imagine",NA,"<10","*","*","*","*"
"The Franklin School Of Innovat",NA,"12","46.2","1125","580","545"
"Carolina International School",NA,"24","52.2","995","500","495"
"Chatham Charter",NA,"33","71.7","1086","552","534"
"Woods Charter School",NA,"29","63","1266","626","640"
"Pinnacle Classical Academy",NA,"<10","*","*","*","*"
"Flemington Academy",NA,"<10","*","*","*","*"
"Voyager Academy",NA,"53","57.6","1050","529","521"
"Research Triangle High School",NA,"62","68.099999999999994","1216","614","602"
"North East Carolina Preparatory School",NA,"29","61.7","1009","519","490"
"Quality Education Academy",NA,"34","100","873","444","429"
"Carter G Woodson School",NA,"<10","*","*","*","*"
"The North Carolina Leadership Academy",NA,"16","80","1135","573","562"
"Piedmont Community Charter",NA,"19","24.1","1049","536","513"
"Mountain Island Charter",NA,"60","57.1","1083","540","543"
"Oxford Preparatory High School",NA,"32","68.099999999999994","1053","553","501"
"Triad Math And Science Academy",NA,"52","78.8","1073","534","539"
"Piedmont Classical High School",NA,"40","93","1068","537","532"
"Pine Lake Preparatory",NA,"119","79.900000000000006","1153","579","573"
"Neuse Charter School",NA,"21","50","1140","586","554"
"Lincoln Charter School",NA,"127","85.8","1120","568","552"
"Bear Grass Charter School",NA,"<10","*","*","*","*"
"Lake Norman Charter",NA,"158","85.4","1248","624","624"
"Queens Grant Community School",NA,"42","44.7","1090","555","535"
"Community School Of Davidson",NA,"108","88.5","1181","599","582"
"Charlotte Secondary School",NA,"<10","*","*","*","*"
"Commonwealth High School",NA,"<10","*","*","*","*"
"Charlotte Learning Academy",NA,"11","35.5","850","439","411"
"Stewart Creek High School",NA,"<10","*","*","*","*"
"Rocky Mount Preparatory",NA,"26","34.700000000000003","907","456","451"
"Gaston College Preparatory",NA,"<10","*","*","*","*"
"Roxboro Community School",NA,"42","45.7","1120","571","549"
"Uwharrie Charter Academy",NA,"34","28.6","1072","552","520"
"Thomas Jefferson Classical Academy",NA,"74","90.2","1165","586","579"
"Lake Lure Classical Academy",NA,"<10","*","*","*","*"
"Gray Stone Day School",NA,"105","99.1","1172","596","576"
"Millennium Charter Academy",NA,"11","45.8","1195","622","573"
"Union Academy Charter School",NA,"99","83.9","1092","552","540"
"Franklin Academy",NA,"98","84.5","1173","595","578"
"East Wake Academy",NA,"27","35.5","1176","602","574"
"Raleigh Charter High School",NA,"121","89","1356","671","685"
"Southern Wake Academy",NA,"17","35.4","1106","577","529"
"Longleaf School Of The Arts",NA,"44","81.5","1151","599","552"
"Haliwa-Saponi Tribal School",NA,"<10","*","*","*","*"
"Northeast Regional School - Biotech/Agri",NA,"10","14.3","1086","560","526"
