"School System & School","...2","# Tested","% Tested","Total","ERW","Math"
"380","West Columbus High","40","40.4","944","469","475"
"Whiteville City Schools",NA,"51","32.299999999999997","1007","513","494"
"316","Whiteville High","51","32.9","1007","513","494"
"Craven County Schools",NA,"255","28.1","1072","540","532"
"314","Craven Early College High","<10","*","*","*","*"
"321","Early College East High","<10","*","*","*","*"
"340","Havelock High","66","28.2","1085","548","537"
"356","New Bern High","125","35.6","1068","540","529"
"372","West Craven High","54","28.7","1056","529","527"
"Cumberland County Schools",NA,"1385","41.4","1024","523","502"
"318","Jack Britt High","191","43.2","1116","557","559"
"322","Douglas Byrd High","88","46.6","944","483","461"
"325","Cape Fear High","100","31.1","1070","545","525"
"347","Cumberland International Early","43","74.099999999999994","1074","549","525"
"354","Cross Creek Early College","<10","*","*","*","*"
"357","Grays Creek High","96","31.5","1060","539","521"
"359","E E Smith High","106","46.7","942","487","455"
"388","Massey Hill Classical High","34","47.9","1083","566","516"
"408","Pine Forest High","130","39","1022","523","499"
"411","Reid Ross Classical High","40","62.5","966","493","473"
"424","Seventy-First High","148","42.9","953","491","462"
"427","South View High","146","42.1","1008","511","498"
"446","Terry Sanford High","163","57.4","1079","555","524"
"455","Westover High","75","31.4","914","469","445"
"700","Cumberland Polytechnic","17","60.7","1039","522","517"
"Currituck County Schools",NA,"122","38.6","1093","553","540"
"306","Currituck County High","80","36.9","1084","550","534"
"311","The Jp Knapp Ech (i)school","42","42.4","1110","560","550"
"Dare County Schools",NA,"226","73.599999999999994","1126","565","561"
"304","Cape Hatteras Secondary School","30","78.900000000000006","1115","577","538"
"306","Dare County Alternative School","<10","*","*","*","*"
"316","Manteo High School","75","71.400000000000006","1098","545","553"
"330","First Flight High School","120","74.099999999999994","1149","576","573"
"Davidson County Schools",NA,"541","38.9","1085","545","540"
"308","Central Davidson High","63","33.9","1064","537","527"
"314","Davidson County High School","<10","*","*","*","*"
"315","Davidson Early College","<10","*","*","*","*"
"324","East Davidson High","62","33.200000000000003","1093","546","546"
"336","Ledford Senior High","112","40","1111","563","547"
"348","North Davidson High","187","53.3","1088","544","544"
"365","South Davidson High","37","43","1042","514","528"
"388","West Davidson High","63","34.6","1081","545","537"
"389","Yadkin Valley Regional Career","12","24","1034","533","502"
"Lexington City Schools",NA,"124","63.6","945","478","467"
"336","Lexington Senior High","124","66.3","945","478","467"
"Thomasville City Schools",NA,"85","63.4","910","452","458"
"324","Thomasville High","85","63.4","910","452","458"
"Davie County Schools",NA,"190","45","1128","573","555"
"312","Davie County High","161","41.9","1120","570","550"
"314","Davie County Early College High","29","78.400000000000006","1174","589","585"
"Duplin County Schools",NA,"203","32.200000000000003","966","492","474"
"338","Duplin Early College High","11","19.600000000000001","1085","564","521"
"344","East Duplin High","43","21.1","985","510","475"
"352","James Kenan High","33","25.2","940","478","462"
"364","North Duplin Jr Sr High","46","52.9","964","483","481"
"392","Wallace-Rose Hill High","70","46.1","949","482","467"
"Durham Public Schools",NA,"1144","49.8","1028","522","505"
"309","J D Clement Early College Hs","63","86.3","1091","548","544"
"312","C E Jordan High","201","49.5","1102","560","541"
"314","The School For Creative Studie","10","18.5","1090","564","526"
"317","City Of Medicine Academy","48","64.900000000000006","1038","527","511"
"322","Durham's Performance Learning","<10","*","*","*","*"
"323","Durham School Of The Arts","140","58.6","1148","582","566"
"325","Hillside High","160","53.5","942","481","462"
"341","Lakeview School","<10","*","*","*","*"
"353","Middle College Hs @ Dtcc","27","31.8","1098","559","539"
"356","Northern High","144","51.1","994","510","485"
"365","Riverside High","136","37","1062","533","529"
"368","Southern School Of Energy And","169","50","903","461","442"
"701","Hillside New Tech High","37","61.7","952","489","463"
"Edgecombe County Public Schools",NA,"200","48.9","954","483","472"
"326","Edgecombe Early College High","25","47.2","1128","566","562"
"328","North Edgecombe High","23","51.1","880","449","431"
"350","Southwest Edgecombe High","70","38.9","942","477","465"
"358","Tarboro High","82","62.6","933","472","461"
"Winston Salem/Forsyth County Schools",NA,"1997","51.4","1090","552","538"
"311","Atkins Academic & Tech High","124","69.3","1156","580","576"
"330","Carver High","41","31.3","884","445","439"
"332","Career Center","<10","*","*","*","*"
"362","Early College Of Forsyth Co","27","50.9","1215","617","598"
"364","East Forsyth High","216","53.1","1045","528","517"
"382","Robert B Glenn High School","126","36","1034","527","507"
"446","Middle College Of Forsyth Cnty","24","37.5","1053","546","506"
"454","Mount Tabor High School","230","63","1111","561","550"
"460","North Forsyth High","97","39.299999999999997","957","493","464"
"486","Parkland High","114","34.9","982","498","484"
"488","J F Kennedy High","<10","*","*","*","*"
"495","Ronald W Reagan High School","309","69.400000000000006","1154","582","572"
"496","R J Reynolds High","260","59.6","1113","569","544"
"542","Walkertown High","43","24","1059","540","519"
"556","West Forsyth High","350","64.2","1136","571","565"
"568","Winston-Salem Preparatory Acad","26","65","920","467","453"
"Franklin County Schools",NA,"160","27.6","1064","545","518"
"308","Bunn High","64","35.4","1050","540","511"
"317","Franklin County Early College","<10","*","*","*","*"
"321","Franklinton High","72","32","1067","546","520"
"336","Louisburg High","17","14.7","1039","526","513"
"Gaston County Schools",NA,"1001","45","1063","537","526"
"310","Ashbrook High","139","48.9","1018","512","506"
"336","Bessemer City High","30","23.6","980","511","468"
"337","Gaston Early College High Scho","19","21.8","1201","613","588"
"360","Cherryville High","37","30.3","1058","536","523"
"372","Warlick Academy","<10","*","*","*","*"
"378","Stuart W Cramer High","111","48.1","1088","551","537"
"390","East Gaston High","88","43.1","1060","534","526"
"396","Forestview High","121","49.2","1074","541","532"
"418","Highland Sch Of Technology","123","89.8","1192","600","591"
"428","Hunter Huss High","91","38.700000000000003","932","467","465"
"470","North Gaston High","70","29.4","1023","522","501"
"494","South Point High","170","65.900000000000006","1075","545","530"
"Gates County Schools",NA,"48","45.7","1032","515","517"
"312","Gates County Senior High","48","45.7","1032","515","517"
"Graham County Schools",NA,"22","27.8","1038","540","498"
"308","Robbinsville High","22","27.8","1038","540","498"
"Granville County Schools",NA,"226","40.9","1024","522","502"
"322","Granville Central High","32","25.8","987","502","486"
"323","Granville Early College High","37","63.8","1122","564","559"
"324","J. F. Webb High","41","37.6","921","468","453"
"328","Granville Magnet Sch","<10","*","*","*","*"
"352","South Granville High","80","40.799999999999997","1021","525","496"
"700","Jf Webb Hs Of Health And Life","35","53.8","1084","554","530"
"Greene County Schools",NA,"92","40.5","951","490","462"
"308","Greene Central High","79","42.5","936","483","453"
"315","Greene Early College High","13","31.7","1045","530","515"
"Guilford County Schools",NA,"3175","59.8","1079","542","536"
"319","T Wingate Andrews High","124","67.8","921","466","455"
"326","Middle College High At Bennett","<10","*","*","*","*"
"355","James B Dudley High","194","66.400000000000006","905","457","448"
"358","Eastern Guilford High","106","55.5","975","493","482"
"390","Gc Middle College High","54","84.4","1059","543","516"
"391","Penn-Griffin Schools","31","91.2","1125","575","550"
"394","Grimsley High","242","62.2","1186","592","594"
"395","Early College At Guilford","43","91.5","1442","715","727"
"399","Middle College At Gtcc-Gso","14","31.1","1044","524","519"
"401","Gtcc Middle College High","<10","*","*","*","*"
"406","High Point Central High","150","48.9","1062","534","528"
"407","The Kearns Academy At Central","10","32.299999999999997","962","481","481"
"408","Middle College Gtcc High Point","<10","*","*","*","*"
"483","Middle College High @ Nc A&t","25","75.8","1011","501","510"
"484","Northeast Guilford High","107","48.9","966","487","480"
"489","Northern Guilford High","242","70.599999999999994","1165","578","587"
"490","Northwest Guilford High","347","75.900000000000006","1173","581","592"
"508","Page High","286","60.9","1109","560","549"
"529","Lucy Ragsdale High","196","62","1064","537","527"
"544","Ben L. Smith High School","123","54.2","873","442","431"
"545","The Academy At Smith","52","92.9","1059","534","526"
"547","Southeast Guilford High","188","60.5","1063","545","518"
"556","Southern Guilford High","102","40.5","1030","512","517"
"562","Southwest Guilford High","238","63.1","1084","549","535"
"569","Stem Early College @ Nc A&t Su","37","74","1269","622","646"
"579","Uncg Early/Middle College","42","85.7","1088","549","539"
