school_code,school_name,percent_white,percent_male,percent_eds,percent_swd,title_1,percent_ACTEN_meeting,percent_ACTMA_meeting,percent_ACTRD_meeting,percent_ACTSC_meeting,percent_ACTWR_meeting,percent_ACT_meeting,missed_school_days,region,growth_status,growth_index_score
130310,Central Cabarrus High,0.48825065274151436,0.5326370757180157,0.42297650130548303,0.05483028720626632,N,31.5,21.4,25.5,21.1,23.6,48,1,Southwest,Exceeded,3.68
130314,Concord High,0.45104895104895104,0.4405594405594406,0.46503496503496505,0.0944055944055944,N,33.8,21.8,31.4,25.9,31.9,47.6,1,Southwest,Exceeded,5.53
130316,Jay M Robinson High,0.5129151291512916,0.5424354243542435,0.42066420664206644,0.0959409594095941,N,36.6,26.1,31.9,18.8,38.8,50.9,1,Southwest,Not Met,-2.35
130324,Mount Pleasant High,0.8883495145631068,0.5485436893203883,0.24757281553398058,0.06310679611650485,N,31.6,12.6,23.8,16.5,22.4,49,1,Southwest,Not Met,-3.76
130326,Northwest Cabarrus High,0.5195729537366548,0.43416370106761565,0.35587188612099646,0.08185053380782918,N,34.4,21.6,31.9,19.9,23.6,54.8,1,Southwest,Exceeded,8.75
130332,Hickory Ridge High,0.5597964376590331,0.5241730279898219,0.15267175572519084,0.04071246819338423,N,45.3,37.5,37.6,30.2,32.4,64.9,1,Southwest,Met,1.02
132304,A L Brown High,0.2865013774104683,0.5041322314049587,0.29201101928374656,0.0743801652892562,N,18.2,7.7,15.2,8.5,15.1,31.4,1,Southwest,Not Met,-8.05
140305,Caldwell Career Cen Mid. Coll.,0.8490566037735849,0.5094339622641509,0.33962264150943394,0.018867924528301883,N,39.6,24.5,39.6,34,54.7,86.8,1,Northwest,Met,-0.78
140348,Hibriten High,0.7923497267759563,0.44808743169398907,0.4098360655737705,0.07103825136612021,N,43.7,24.6,30.1,24,17.6,57.9,1,Northwest,Met,1.01
140386,South Caldwell High,0.8931750741839762,0.486646884272997,0.35014836795252224,0.08011869436201781,N,37.9,21.3,25.1,24.3,13.9,56.1,1,Northwest,Not Met,-2.93
140390,West Caldwell High,0.6470588235294118,0.5454545454545454,0.6524064171122995,0.0748663101604278,N,23.5,9.1,19.3,13.4,18.5,42.8,1,Northwest,Met,0.43
150304,Camden County High,0.7701149425287356,0.5287356321839081,0.1839080459770115,0.06896551724137934,N,36.8,13.8,27.6,20.7,22.1,52.9,2,Northeast,Met,-0.68
160313,East Carteret High,0.8217821782178217,0.42574257425742573,0.5841584158415841,0.08910891089108908,N,42.6,34.7,39.6,26.7,21,68.3,15,Southeast,Exceeded,9.07
160314,Croatan High,0.8571428571428571,0.5439560439560439,0.2692307692307692,0.0494505494505495,N,67.6,45.6,55.5,40.1,40.3,84.6,15,Southeast,Exceeded,6.52
160344,West Carteret High,0.7340823970037453,0.4681647940074906,0.4681647940074906,0.0599250936329588,N,62.5,30.7,47.6,38.6,21.1,76.8,15,Southeast,Exceeded,8.48
170316,Bartlett Yancey High,0.4533333333333333,0.5466666666666666,0.48,0.053333333333333344,N,27.3,12,18.7,14.7,14.1,42,0,Piedmont-Triad,Not Met,-4.4
180308,Bandys High,0.8433179723502304,0.4930875576036866,0.2672811059907834,0.01382488479262678,N,56.7,36.4,39.2,33.2,11.6,71.4,1,Northwest,Exceeded,6.21
180320,Bunker Hill High,0.6153846153846154,0.5048076923076923,0.5048076923076923,0.04807692307692308,N,31.7,19.2,25.5,18.8,13.5,60.1,1,Northwest,Not Met,-2.29
180325,Challenger Early College High,0.4897959183673469,0.3673469387755102,0.3673469387755102,0,N,72.4,56.1,59.2,51,58.2,95,1,Northwest,Met,1.74
180340,Fred T Foard High,0.7380952380952381,0.44761904761904764,0.36666666666666664,0.03809523809523807,N,41.9,26.2,36.7,29.5,19.7,62.4,1,Northwest,Exceeded,3.29
180348,Maiden High,0.7416267942583732,0.4688995215311005,0.3157894736842105,0.06698564593301436,N,35.4,25.8,24.9,20.1,21.6,53.6,1,Northwest,Met,0.46
180376,Saint Stephens High,0.5551470588235294,0.47794117647058826,0.40808823529411764,0.04779411764705882,N,38.2,26.1,31.6,27.6,24.4,58.8,1,Northwest,Met,1.86
182316,Newton-Conover High,0.4027777777777778,0.6111111111111112,0.5277777777777778,0.06944444444444445,N,25,13.2,16.7,19.4,25.2,50.7,1,Northwest,Exceeded,2.02
182700,Discovery High School,0.6296296296296297,0.3148148148148148,0.2222222222222222,0,N,75.9,35.2,68.5,53.7,33.3,94.4,1,Northwest,Met,-0.64
190316,Chatham Central High,0.7142857142857143,0.5306122448979592,0.3877551020408163,0.0714285714285714,N,25.5,8.2,18.4,18.4,13.7,46.9,4,North Central,Met,-1.17
190336,Jordan Matthews High,0.24043715846994534,0.5027322404371585,0.7377049180327869,0.07103825136612021,N,24.6,12.6,19.1,13.7,25.7,44.8,4,North Central,Exceeded,2.11
190342,Northwood High,0.6533742331288344,0.44785276073619634,0.22699386503067484,0.08282208588957055,N,61.3,42,53.7,42.9,48.6,75.5,4,North Central,Met,0.68
200308,Andrews High,0.813953488372093,0.5348837209302325,0.5116279069767442,0.16279069767441856,N,27.9,5,18.6,9.3,16.7,37.2,0,Western,Met,1.68
200314,Hiwassee Dam High,0.9230769230769231,0.3333333333333333,0.6666666666666666,0.07692307692307687,N,61.5,28.2,48.7,15.4,10.3,71.8,0,Western,Met,1.07
200328,Murphy High,0.8508771929824561,0.39473684210526316,0.4473684210526316,0.06140350877192979,N,36,10.5,27.2,13.2,11.6,48.2,0,Western,Not Met,-6.17
210312,John A Holmes High,0.4965986394557823,0.48299319727891155,0.4965986394557823,0.11564625850340136,N,21.8,11.6,17.7,11.6,14.8,38.1,3,Northeast,Met,-0.99
220310,Hayesville High,0.9382716049382716,0.6296296296296297,0.37037037037037035,0.06172839506172845,N,45.7,18.5,29.6,24.7,19.8,59.3,0,Western,Met,0.59
230312,Burns High,0.7361702127659574,0.5234042553191489,0.4297872340425532,0.14468085106382977,N,21.7,16.2,18.3,12.3,15.1,40,0,Southwest,Not Met,-5.53
230324,Crest High,0.6545454545454545,0.4727272727272727,0.4090909090909091,0.08636363636363636,N,30,17.7,25.5,12.3,8.8,49.5,0,Southwest,Not Met,-6.05
230350,Kings Mountain High,0.6832740213523132,0.4697508896797153,0.4199288256227758,0.08540925266903915,N,36.7,23.8,25.6,19.9,19.1,54.4,0,Southwest,Exceeded,3.62
230361,Shelby High,0.4101123595505618,0.4606741573033708,0.550561797752809,0.09550561797752809,N,30.9,14.6,18.5,15.7,14.8,41.6,0,Southwest,Not Met,-11.25
240334,East Columbus High,0.3026315789473684,0.4473684210526316,0.6973684210526315,0.06578947368421051,N,18.4,5.3,17.1,5,11.8,38.2,7,Sandhills,Not Met,-4.74
240371,South Columbus High,0.7100591715976331,0.5029585798816568,0.6272189349112426,0.053254437869822535,N,21.9,8.9,13.6,5.9,5,36.7,7,Sandhills,Not Met,-7.04
240380,West Columbus High,0.5111111111111111,0.4777777777777778,0.7333333333333333,0.05555555555555558,N,20,6.7,21.1,18.9,5,35.6,7,Sandhills,Exceeded,3.21
241316,Whiteville High,0.509090909090909,0.503030303030303,0.6484848484848484,0.07272727272727272,Y,25.5,13.3,15.8,12.1,9.3,46.7,10,Sandhills,Met,-0.87
250340,Havelock High,0.49065420560747663,0.46261682242990654,0.48598130841121495,0.056074766355140186,N,32.2,14.5,26.6,18.7,9.3,52.8,14,Southeast,Met,1.85
250356,New Bern High,0.5194029850746269,0.47761194029850745,0.4835820895522388,0.06567164179104477,N,34.9,21.8,30.1,20.9,18.7,55.8,9,Southeast,Not Met,-3.24
250372,West Craven High,0.5670103092783505,0.4639175257731959,0.6082474226804123,0.09278350515463918,N,23.7,17,22.7,11.9,14.4,44.8,9,Southeast,Not Met,-10.31
260318,Jack Britt High,0.3978021978021978,0.5054945054945055,0.3252747252747253,0.06153846153846154,N,47.9,28.3,46.3,31.4,35.5,70.5,7,Sandhills,Met,1.77
260322,Douglas Byrd High,0.17674418604651163,0.4930232558139535,0.7116279069767442,0.14883720930232558,Y,12.1,5,11.2,6.5,6.2,23.7,7,Sandhills,Not Met,-7.62
260325,Cape Fear High,0.5348837209302325,0.5116279069767442,0.4584717607973422,0.09302325581395349,N,42.2,25.6,34.6,20.9,26.4,61.8,7,Sandhills,Exceeded,3.38
260347,Cumberland International Early College,0.34615384615384615,0.25,0.6153846153846154,0,N,63.5,34.6,50,42.3,51.9,82.7,7,Sandhills,Met,1.8
260354,Cross Creek Early College,0.14285714285714285,0.44285714285714284,0.5571428571428572,0,N,81.4,60,61.4,55.7,61.4,95,7,Sandhills,Exceeded,6.8
260357,Grays Creek High,0.4857142857142857,0.4666666666666667,0.42857142857142855,0.09841269841269841,N,46.5,27.3,39.9,24.1,54.3,65.4,7,Sandhills,Not Met,-3.58
260359,E E Smith High,0.10837438423645321,0.4975369458128079,0.6206896551724138,0.15763546798029557,Y,22.9,5.4,13.2,7.9,8.9,37.4,7,Sandhills,Met,0.19
260374,Alger B. Wilkins High School,0.17857142857142858,0.5,0.6785714285714286,0.125,N,7.1,5,5,5,5,7.1,7,Sandhills,Met,-1.75
260388,Massey Hill Classical High,0.5079365079365079,0.4126984126984127,0.4126984126984127,0.07936507936507942,N,71.4,38.1,55.6,28.6,57.1,76.2,7,Sandhills,Met,0.5
260408,Pine Forest High,0.29155313351498635,0.5340599455040872,0.5749318801089919,0.09264305177111716,N,31.1,17.2,27.2,16.3,25.8,47.7,7,Sandhills,Exceeded,5.07
260411,Reid Ross Classical High,0.2727272727272727,0.3939393939393939,0.5909090909090909,0.06060606060606055,N,43.9,15.2,28.8,27.3,18.2,63.6,7,Sandhills,Exceeded,5.13
260424,Seventy-First High,0.05016722408026756,0.5183946488294314,0.68561872909699,0.10367892976588629,N,19.3,6.3,13,5,14.2,32.1,7,Sandhills,Exceeded,2.66
260427,South View High,0.29120879120879123,0.4423076923076923,0.6291208791208791,0.10989010989010989,N,22.2,9.1,15.3,8.2,15.9,38.7,7,Sandhills,Exceeded,2.63
260446,Terry Sanford High,0.3903345724907063,0.516728624535316,0.483271375464684,0.09665427509293681,N,32.8,14.1,28.5,17.8,18.5,51.7,7,Sandhills,Not Met,-4.35
260449,Ramsey Street High,0.16666666666666663,0.6666666666666666,0.5555555555555556,0.2222222222222222,N,16.7,11.1,5.6,5,5,11.1,7,Sandhills,Not Met,-6.68
260455,Westover High,0.11818181818181818,0.4818181818181818,0.6409090909090909,0.12272727272727273,Y,23.1,6.8,17.3,5,19.7,33.2,7,Sandhills,Met,-0.44
260700,Cumberland Polytechnic,0.30434782608695654,0.2898550724637681,0.5797101449275363,0.01449275362318836,N,59.4,27.5,46.4,36.2,37.7,87,7,Sandhills,Exceeded,7.38
270306,Currituck County High,0.7949790794979079,0.5146443514644351,0.200836820083682,0.1087866108786611,N,34.3,21.8,26.8,18.4,27.3,52.3,5,Northeast,Met,-1.73
280316,Manteo High School,0.6460176991150443,0.4690265486725664,0.34513274336283184,0.07964601769911506,N,48.7,31,31.9,25.7,23.9,61.9,3,Northeast,Exceeded,7.15
280330,First Flight High School,0.8426966292134831,0.5393258426966292,0.24719101123595505,0.0898876404494382,N,51.7,30.9,42.1,35.4,27.4,66.9,3,Northeast,Met,-1.99
290308,Central Davidson High,0.8585858585858586,0.5404040404040404,0.3282828282828283,0.10606060606060606,N,29.3,17.2,23.7,13.6,14.1,50.5,0.7,Piedmont-Triad,Met,0.03
290324,East Davidson High,0.8031088082901554,0.46113989637305697,0.35233160621761656,0.08290155440414508,N,29,16.6,28.5,17.6,13,53.9,0.6,Piedmont-Triad,Met,1.66
290336,Ledford Senior High,0.7272727272727273,0.4909090909090909,0.3090909090909091,0.045454545454545456,N,42.7,26.4,37.3,28.2,39.9,62.7,0.6,Piedmont-Triad,Met,0.29
290348,North Davidson High,0.8916666666666667,0.5041666666666667,0.2625,0.08333333333333333,N,38.8,31.7,33.8,25.8,32.6,65.8,0.6,Piedmont-Triad,Exceeded,2.78
290349,Oak Grove High,0.8523809523809524,0.4666666666666667,0.2523809523809524,0.08571428571428572,N,41,26.2,29.5,24.3,29.7,60.5,0.6,Piedmont-Triad,Met,-0.06
290365,South Davidson High,0.9294117647058824,0.49411764705882355,0.4470588235294118,0.15294117647058825,N,23.5,11.8,16.5,8.2,11.9,45.9,0.6,Piedmont-Triad,Not Met,-2.64
290388,West Davidson High,0.8571428571428571,0.5590062111801242,0.36024844720496896,0.07453416149068323,N,34.2,15.5,23,15.5,28,47.8,1,Piedmont-Triad,Not Met,-7.42
291336,Lexington Senior High School,0.2108843537414966,0.48299319727891155,0.46258503401360546,0.06802721088435375,N,30.6,15,22.4,12.9,26.6,45.6,2,Piedmont-Triad,Met,-0.83
292324,Thomasville High,0.20689655172413793,0.45517241379310347,0.3793103448275862,0.06206896551724139,N,19.9,10.3,12.3,11,12.2,37.9,0,Piedmont-Triad,Met,-0.09
292324,Thomasville High,0.20689655172413793,0.45517241379310347,0.3793103448275862,0.06206896551724139,N,19.9,10.3,12.3,11,12.2,37.9,0,Piedmont-Triad,Met,1.38
300312,Davie County High,0.7560386473429952,0.5096618357487923,0.3888888888888889,0.12077294685990338,N,36.7,23.9,35.3,24.2,24.5,56,1,Piedmont-Triad,Not Met,-6.81
310344,East Duplin High,0.5373831775700935,0.5280373831775701,0.5327102803738317,0.06542056074766354,N,22.9,14,20.1,15,21.7,41.6,17,Southeast,Exceeded,2.63
310352,James Kenan High,0.09701492537313433,0.5223880597014925,0.746268656716418,0.05970149253731338,N,14.2,6.7,10.4,6.7,5,26.1,17,Southeast,Met,1.14
310392,Wallace-Rose Hill High,0.2,0.5862068965517241,0.7241379310344828,0.07586206896551724,N,15.8,6.8,9.7,6.2,14.6,36.6,17,Southeast,Not Met,-2.44
320309,J D Clement Early College HS,0.05747126436781613,0.3218390804597701,0.632183908045977,0,N,64.4,54,43.7,39.1,31,90.8,0,North Central,Exceeded,7.41
